datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2013-04-25,31.5917,-0.04970000000000141,3,1.0,6.123233995736766e-17
2013-04-26,31.3169,-0.27479999999999905,4,1.0,6.123233995736766e-17
2013-04-27,31.2196,-0.09730000000000061,5,1.0,6.123233995736766e-17
2013-04-28,31.2196,0.0,6,1.0,6.123233995736766e-17
2013-04-29,31.2196,0.0,0,1.0,6.123233995736766e-17
2013-04-30,31.2559,0.036300000000000665,1,1.0,6.123233995736766e-17
2013-05-01,31.0433,-0.2126000000000019,2,0.8660254037844387,-0.4999999999999998
2013-05-02,31.0433,0.0,3,0.8660254037844387,-0.4999999999999998
2013-05-03,31.0433,0.0,4,0.8660254037844387,-0.4999999999999998
2013-05-04,31.0433,0.0,5,0.8660254037844387,-0.4999999999999998
2013-05-05,31.0433,0.0,6,0.8660254037844387,-0.4999999999999998
2013-05-06,31.0433,0.0,0,0.8660254037844387,-0.4999999999999998
2013-05-07,31.0839,0.0406000000000013,1,0.8660254037844387,-0.4999999999999998
2013-05-08,31.0789,-0.004999999999999005,2,0.8660254037844387,-0.4999999999999998
2013-05-09,31.0829,0.003999999999997783,3,0.8660254037844387,-0.4999999999999998
2013-05-10,31.0829,0.0,4,0.8660254037844387,-0.4999999999999998
2013-05-11,31.0829,0.0,5,0.8660254037844387,-0.4999999999999998
2013-05-12,31.0829,0.0,6,0.8660254037844387,-0.4999999999999998
2013-05-13,31.0829,0.0,0,0.8660254037844387,-0.4999999999999998
2013-05-14,31.3777,0.29480000000000217,1,0.8660254037844387,-0.4999999999999998
2013-05-15,31.2778,-0.09990000000000165,2,0.8660254037844387,-0.4999999999999998
2013-05-16,31.4281,0.15030000000000143,3,0.8660254037844387,-0.4999999999999998
2013-05-17,31.4166,-0.01150000000000162,4,0.8660254037844387,-0.4999999999999998
2013-05-18,31.3931,-0.023499999999998522,5,0.8660254037844387,-0.4999999999999998
2013-05-19,31.3931,0.0,6,0.8660254037844387,-0.4999999999999998
2013-05-20,31.3931,0.0,0,0.8660254037844387,-0.4999999999999998
2013-05-21,31.3406,-0.05250000000000199,1,0.8660254037844387,-0.4999999999999998
2013-05-22,31.177,-0.16359999999999886,2,0.8660254037844387,-0.4999999999999998
2013-05-23,31.228,0.05100000000000193,3,0.8660254037844387,-0.4999999999999998
2013-05-24,31.4711,0.24309999999999832,4,0.8660254037844387,-0.4999999999999998
